,/gpu-intel/0xA7A1/power/0
Time,GPU Package
11:36:18,4.71492958
11:36:19,4.978294
11:36:20,4.956434
11:36:21,4.7002
11:36:22,4.693398
11:36:23,4.93382454
11:36:24,4.940917
11:36:25,4.66124
11:36:26,4.690285
11:36:27,4.88294649
11:36:28,4.701709
11:36:29,4.79126358
11:36:30,4.65678835
11:36:31,4.77727127
11:36:32,5.18854141
11:36:33,5.24897861
11:36:34,4.811903
11:36:35,4.792674
11:36:36,4.884992
11:36:37,4.828218
11:36:38,4.79739046
11:36:39,4.802418
11:36:40,4.83704758
11:36:41,4.819532
11:36:42,4.98580933
11:36:43,4.85319567
11:36:44,4.66759539
11:36:45,4.96580744
11:36:46,3.98258328
11:36:47,4.33930731
11:36:48,4.80146074
11:36:49,5.291303
11:36:50,4.935597
11:36:51,4.921864
11:36:52,4.801064
11:36:53,4.82026148
11:36:54,4.92597151
11:36:55,4.709436
11:36:56,4.726559
11:36:57,4.657374
11:36:58,4.84502
11:36:59,4.786193
11:37:00,4.91727
11:37:01,4.53759
11:37:02,4.827249
11:37:03,4.775439
11:37:04,5.10491467
11:37:05,5.10626936
11:37:06,4.676168
11:37:07,4.884434
11:37:08,4.74353361
11:37:09,4.95366144
11:37:10,4.821955
11:37:11,4.950878
11:37:12,4.75408268
11:37:13,4.81696558
11:37:14,4.989322
11:37:15,5.003625
11:37:16,5.011088
11:37:17,4.2894125
11:37:18,4.20392132
11:37:19,4.69653034
11:37:20,4.89714146
11:37:21,5.24909353
11:37:22,4.877756
11:37:23,4.815013
11:37:24,4.829624
11:37:25,4.734774
11:37:26,4.875276
11:37:27,4.73249674
11:37:28,4.920069
11:37:29,4.98539829
11:37:30,4.75183725
11:37:31,4.68472576
11:37:32,4.838754
11:37:33,5.58260345
11:37:34,5.15331
11:37:35,4.840048
11:37:36,4.9617486
11:37:37,4.796891
11:37:38,4.72903728
11:37:39,4.978735
11:37:40,5.186392
11:37:41,4.733953
11:37:42,4.81319666
11:37:43,4.84904242
11:37:44,4.88806248
11:37:45,4.70765
11:37:46,4.74124527
11:37:47,4.1691823
11:37:48,4.342938
11:37:49,4.849276
11:37:50,4.858182
11:37:51,5.52436733
11:37:52,5.2653265
11:37:53,5.44700432
11:37:54,5.21783733
11:37:55,4.99053335
11:37:56,4.90244
11:37:57,4.994196
11:37:58,11.8773594
11:37:59,4.82714
11:38:00,4.882028
11:38:01,5.15234375
11:38:02,4.646044
11:38:03,5.24368429
11:38:04,4.90843725
11:38:05,5.080012
11:38:06,4.957869
11:38:07,4.886578
11:38:08,4.80341
11:38:09,4.831185
11:38:10,4.917517
11:38:11,4.943948
11:38:12,4.746494
11:38:13,4.757069
11:38:14,4.90954447
11:38:15,5.058007
11:38:16,4.759374
11:38:17,4.73700857
11:38:18,4.640105
11:38:19,4.770324
11:38:20,4.687692
11:38:21,5.15451
11:38:22,4.737866
11:38:23,4.903403
11:38:24,4.76105547
11:38:25,4.914351
11:38:26,4.94696569
11:38:27,4.69556952
11:38:28,4.899503
11:38:29,4.8659997
11:38:30,5.040573
11:38:31,4.86271048
11:38:32,5.05322647
11:38:33,5.07629633
11:38:34,4.94353247
11:38:35,4.758581
11:38:36,5.19367027
11:38:37,4.93658161
11:38:38,4.972897
11:38:39,4.858376
11:38:40,4.95401955
11:38:41,4.91502142
11:38:42,4.75314331
11:38:43,4.8960824
11:38:44,4.857723
11:38:45,4.78718758
11:38:46,4.907361
11:38:47,4.27627945
11:38:48,4.42487
11:38:49,4.75405169
11:38:50,4.93724251
11:38:51,4.96780729
11:38:52,4.885376
11:38:53,4.56671143
11:38:54,5.35126972
11:38:55,4.94682837
11:38:56,4.9855
11:38:57,4.81516361
11:38:58,5.22020674
11:38:59,5.15021849
11:39:00,5.183075
11:39:01,5.066821
11:39:02,5.069466
11:39:03,4.74438667
11:39:04,7.88039255
11:39:05,6.342197
11:39:06,7.3164053
11:39:07,5.01221228
11:39:08,4.7794776
11:39:09,4.904373
11:39:10,4.75342464
11:39:11,4.76909256
11:39:12,4.83332729
11:39:13,5.008915
11:39:14,4.84194851
11:39:15,4.856114
11:39:16,4.93442154
11:39:17,4.1855855
11:39:18,4.486076
11:39:19,4.83622837
11:39:20,5.09009361
11:39:21,4.948675
11:39:22,4.90316343
11:39:23,4.68600225
11:39:24,4.951084
11:39:25,4.95076752
11:39:26,4.905215
11:39:27,4.677327
11:39:28,4.850944
11:39:29,4.969946
11:39:30,4.957213
11:39:31,4.91572332
11:39:32,5.0599947
11:39:33,5.11631155
11:39:34,4.89600563
11:39:35,4.96368933
11:39:36,5.01735544
11:39:37,4.94476271
11:39:38,5.06188536
11:39:39,6.000782
